"Time (s)","Frequency (Hz)","Speed (m/s)"
5.553317700E-1,NaN,NaN
5.653319783E-1,NaN,NaN
5.753321867E-1,NaN,NaN
5.853323950E-1,NaN,NaN
5.953326034E-1,NaN,NaN
6.053328117E-1,NaN,NaN
6.153330200E-1,NaN,NaN
6.253332284E-1,NaN,NaN
6.353334367E-1,NaN,NaN
6.453336450E-1,NaN,NaN
6.553338534E-1,NaN,NaN
6.653340617E-1,2.000422375E3,7.178855060E-2
6.753342701E-1,2.000997488E3,1.694884177E-1
6.853344784E-1,2.003585711E3,6.084799757E-1
6.953346867E-1,1.999005982E3,-1.690670347E-1
7.053348951E-1,2.000129491E3,2.201207991E-2
7.153351034E-1,2.002222395E3,3.773878674E-1
7.253353117E-1,2.003144627E3,5.337474408E-1
7.353355201E-1,2.002383911E3,4.047824275E-1
7.453357284E-1,2.002750711E3,4.669785562E-1
7.553359368E-1,2.001856907E3,3.153813640E-1
7.653361451E-1,2.002183308E3,3.707576903E-1
7.753363534E-1,2.001546297E3,2.626674881E-1
7.853365618E-1,2.003451117E3,5.856792630E-1
7.953367701E-1,2.000959943E3,1.631119522E-1
8.053369784E-1,2.004282134E3,7.264074136E-1
8.153371868E-1,2.001784648E3,3.031196363E-1
8.253373951E-1,2.000437230E3,7.431287239E-2
8.353376035E-1,2.004581262E3,7.770347183E-1
8.453378118E-1,2.005095019E3,8.639523487E-1
8.553380201E-1,2.001438546E3,2.443770929E-1
8.653382285E-1,1.999886618E3,-1.927596889E-2
8.753384368E-1,1.998600718E3,-2.380445379E-1
8.853386451E-1,2.003940331E3,6.685391265E-1
8.953388535E-1,2.001065447E3,1.810295101E-1
9.053390618E-1,2.000528342E3,8.979440355E-2
9.153392702E-1,1.998493117E3,-2.563632470E-1
9.253394785E-1,1.996839612E3,-5.381162796E-1
9.353396868E-1,1.995330179E3,-7.957274802E-1
9.453398952E-1,NaN,NaN
9.553401035E-1,1.999928248E3,-1.219823218E-2
9.653403118E-1,1.998280641E3,-2.925425318E-1
9.753405202E-1,1.998853217E3,-1.950649594E-1
9.853407285E-1,1.996776533E3,-5.488740527E-1
9.953409369E-1,1.998496297E3,-2.558218094E-1
1.005341145E0,1.997325250E3,-4.553164047E-1
1.015341354E0,1.997356456E3,-4.499972415E-1
1.025341562E0,1.998118078E3,-3.202280388E-1
1.035341770E0,1.997924602E3,-3.531840992E-1
1.045341979E0,1.998360530E3,-2.789385284E-1
1.098106406E0,1.997828994E3,-3.694720098E-1
1.108106614E0,1.997347846E3,-4.514648076E-1
1.118106823E0,1.996382610E3,-6.160706432E-1
1.128107031E0,1.996796234E3,-5.455139851E-1
1.138107239E0,1.996328892E3,-6.252359328E-1
1.148107448E0,1.996777952E3,-5.486319782E-1
1.158107656E0,1.996777171E3,-5.487652195E-1
1.168107864E0,1.997163176E3,-4.829450790E-1
1.178108073E0,1.996797341E3,-5.453253561E-1
1.188108281E0,1.996145197E3,-6.565819915E-1
1.198108489E0,1.996731605E3,-5.565366874E-1
1.208108698E0,1.997001157E3,-5.105689498E-1
1.218108906E0,1.997328288E3,-4.547986074E-1
1.228109114E0,1.996061373E3,-6.708877140E-1
1.238109323E0,1.996750610E3,-5.532951606E-1
1.248109531E0,1.996814474E3,-5.424033466E-1
1.258109739E0,1.997495721E3,-4.262611475E-1
1.268109948E0,1.997547732E3,-4.173973383E-1
1.278110156E0,1.997420238E3,-4.391259244E-1
1.288110364E0,1.998310990E3,-2.873743072E-1
1.298110573E0,1.997408506E3,-4.411256365E-1
1.308110781E0,1.997052963E3,-5.017355687E-1
1.318110989E0,1.997782488E3,-3.773954607E-1
1.328111198E0,1.998831891E3,-1.986946295E-1
1.338111406E0,1.999266832E3,-1.246842849E-1
1.348111614E0,1.998311898E3,-2.872197856E-1
1.358111823E0,1.999306388E3,-1.179549994E-1
1.368112031E0,2.000004228E3,7.187091214E-4
1.378112239E0,1.999738777E3,-4.441379489E-2
1.388112448E0,2.000215153E3,3.657206111E-2
1.398112656E0,2.000707337E3,1.202047183E-1
1.408112864E0,2.000703521E3,1.195565650E-1
1.418113073E0,2.000575588E3,9.782182985E-2
1.428113281E0,2.001117426E3,1.898564178E-1
1.438113489E0,2.000131827E3,2.240912363E-2
1.448113698E0,2.000657914E3,1.118085568E-1
1.458113906E0,2.001792393E3,3.044339272E-1
1.468114114E0,2.002390618E3,4.059198844E-1
1.478114323E0,2.001831525E3,3.110744124E-1
1.488114531E0,2.000780416E3,1.326189811E-1
1.498114740E0,2.002307229E3,3.917769057E-1
1.508114948E0,2.002800078E3,4.753477693E-1
1.518115156E0,2.002556808E3,4.341024320E-1
1.528115365E0,2.001700483E3,2.888364509E-1
1.538115573E0,2.001550501E3,2.633809728E-1
1.548115781E0,2.001944349E3,3.302183063E-1
1.558115990E0,2.002266452E3,3.848606398E-1
1.568116198E0,2.003108177E3,5.275701503E-1
1.578116406E0,2.002899523E3,4.922052890E-1
1.588116615E0,2.002797519E3,4.749139483E-1
1.598116823E0,2.002218642E3,3.767512495E-1
1.608117031E0,2.001691053E3,2.872361700E-1
1.618117240E0,2.002460653E3,4.177969065E-1
1.628117448E0,2.002437004E3,4.137864095E-1
1.650946562E0,2.003862979E3,6.554404730E-1
1.660946770E0,2.003543545E3,6.013372419E-1
1.670946979E0,2.002141811E3,3.637183445E-1
1.680947187E0,2.002080073E3,3.532449415E-1
1.690947395E0,2.001794787E3,3.048402846E-1
1.700947604E0,2.001891662E3,3.212786361E-1
1.710947812E0,2.002286833E3,3.883175353E-1
1.720948020E0,2.002889047E3,4.904295362E-1
1.730948229E0,2.002344036E3,3.980196509E-1
1.740948437E0,2.002078298E3,3.529438231E-1
1.750948645E0,2.003348295E3,5.682588669E-1
1.760948854E0,2.002688117E3,4.563665800E-1
1.770949062E0,2.003068123E3,5.207819310E-1
1.780949270E0,2.003332830E3,5.656384641E-1
1.790949479E0,2.003371138E3,5.721291292E-1
1.800949687E0,2.002552219E3,4.333241885E-1
1.810949895E0,2.001855767E3,3.151878858E-1
1.820950104E0,2.003803136E3,6.453060197E-1
1.830950312E0,2.003756894E3,6.374745615E-1
1.840950520E0,2.001806526E3,3.068322443E-1
1.850950729E0,2.002720088E3,4.617869289E-1
1.860950937E0,2.002883643E3,4.895135569E-1
1.870951145E0,2.002582511E3,4.384607360E-1
1.880951354E0,2.003264334E3,5.540324859E-1
1.890951562E0,2.003668066E3,6.224296040E-1
1.900951770E0,2.002921027E3,4.958503681E-1
1.910951979E0,2.003314686E3,5.625641800E-1
1.920952187E0,2.003174671E3,5.388387625E-1
1.930952395E0,2.003223089E3,5.470435884E-1
1.940952604E0,2.002683608E3,4.556020807E-1
1.950952812E0,2.002732114E3,4.638257309E-1
1.960953020E0,2.003967257E3,6.730984333E-1
1.970953229E0,2.003236184E3,5.492625988E-1
1.980953437E0,2.002806589E3,4.764516047E-1
1.990953645E0,2.003186670E3,5.408721373E-1
2.000953854E0,2.003138565E3,5.327201288E-1
2.010954062E0,2.002945706E3,5.000334716E-1
2.020954270E0,2.002391041E3,4.059915463E-1
2.030954479E0,2.003447589E3,5.850815924E-1
2.040954687E0,2.003023744E3,5.132605123E-1
2.050954896E0,2.002068759E3,3.513255950E-1
2.060955104E0,2.003101896E3,5.265057882E-1
2.070955312E0,2.003365365E3,5.711510448E-1
2.080955521E0,2.002902234E3,4.926647882E-1
2.090955729E0,2.002564139E3,4.353454488E-1
2.100955937E0,2.002853126E3,4.843404507E-1
2.110956146E0,2.002199784E3,3.735524715E-1
2.120956354E0,2.001646924E3,2.797466386E-1
2.130956562E0,2.002915484E3,4.949108593E-1
2.140956771E0,2.003728624E3,6.326865500E-1
2.150956979E0,2.002321538E3,3.942039567E-1
2.160957187E0,2.002871511E3,4.874570798E-1
2.170957396E0,2.003386679E3,5.747621846E-1
2.180957604E0,2.002979951E3,5.058379039E-1
2.191749582E0,2.001711418E3,2.906922718E-1
2.201749790E0,2.001757295E3,2.984778616E-1
2.211749999E0,2.002785093E3,4.728074625E-1
2.221750207E0,2.002134000E3,3.623932606E-1
2.231750415E0,2.002277278E3,3.866969646E-1
2.241750624E0,2.002248595E3,3.818318753E-1
2.251750832E0,2.002625262E3,4.457095477E-1
2.261751040E0,2.003456254E3,5.865495116E-1
2.271751249E0,2.003866381E3,6.560165520E-1
2.281751457E0,2.003352981E3,5.690526908E-1
2.291751665E0,2.002448634E3,4.157586772E-1
2.301751874E0,2.002232839E3,3.791593720E-1
2.311752082E0,2.002674496E3,4.540570684E-1
2.321752290E0,2.002918064E3,4.953482262E-1
2.331752499E0,2.002306397E3,3.916358873E-1
2.341752707E0,2.002864631E3,4.862907881E-1
2.351752915E0,2.002497362E3,4.240220745E-1
2.361753124E0,2.002493148E3,4.233074061E-1
2.371753332E0,2.002497306E3,4.240125651E-1
2.381753540E0,2.002926979E3,4.968592177E-1
2.391753749E0,2.001735293E3,2.947440236E-1
2.401753957E0,2.001725251E3,2.930398726E-1
2.411754165E0,2.002159081E3,3.666479651E-1
2.421754374E0,2.002707315E3,4.596214028E-1
2.431754582E0,2.002939190E3,4.989290224E-1
2.441754790E0,2.003081415E3,5.230347656E-1
2.451754999E0,2.002040345E3,3.465051439E-1
2.461755207E0,2.001591823E3,2.703947011E-1
2.471755415E0,2.002140652E3,3.635218247E-1
2.481755624E0,2.003323861E3,5.641188613E-1
2.491755832E0,2.003768361E3,6.394166513E-1
2.501756040E0,2.002650234E3,4.499436211E-1
2.511756249E0,2.003235112E3,5.490808577E-1
2.521756457E0,2.002803983E3,4.760098012E-1
2.531756665E0,2.001661324E3,2.821906751E-1
2.541756874E0,2.002165092E3,3.676676091E-1
2.551757082E0,2.002148447E3,3.648441072E-1
2.561757290E0,2.003006687E3,5.103695807E-1
2.571757499E0,2.002925508E3,4.966099938E-1
2.581757707E0,2.002965428E3,5.033763234E-1
2.591757916E0,2.001606411E3,2.728706347E-1
2.601758124E0,2.000791010E3,1.344185767E-1
2.611758332E0,2.002308256E3,3.919511516E-1
2.621758541E0,2.003198577E3,5.428898435E-1
2.631758749E0,2.003757543E3,6.375844478E-1
2.641758957E0,2.002463897E3,4.183470908E-1
2.651759166E0,2.001789545E3,3.039507030E-1
2.661759374E0,2.002069378E3,3.514306076E-1
2.671759582E0,2.002503134E3,4.250008397E-1
2.681759791E0,2.003456814E3,5.866444880E-1
2.691759999E0,2.002430009E3,4.126003022E-1
2.701760207E0,2.001169223E3,1.986517881E-1
2.711760416E0,2.001795214E3,3.049127568E-1
2.721760624E0,2.001258226E3,2.137638937E-1
2.731760832E0,2.002397205E3,4.070370538E-1
2.741761041E0,2.001863323E3,3.164701376E-1
2.746299269E0,2.001963030E3,3.333878733E-1
2.756299477E0,2.000934790E3,1.588400711E-1
2.766299686E0,1.999775839E3,-3.811161929E-2
2.776299894E0,2.001405506E3,2.387682804E-1
2.786300102E0,2.000994718E3,1.690179333E-1
2.796300311E0,2.000156141E3,2.654184235E-2
2.806300519E0,1.997417210E3,-4.396421134E-1
2.816300727E0,1.995704976E3,-7.317254851E-1
2.826300936E0,1.995360240E3,-7.905932694E-1
2.836301144E0,1.993725593E3,-1.070006015E0
2.846301352E0,1.994015001E3,-1.020503637E0
2.856301561E0,1.994137277E3,-9.995931597E-1
2.866301769E0,NaN,NaN
2.876301977E0,1.995061234E3,-8.416686154E-1
2.886302186E0,1.995876531E3,-7.024380207E-1
2.896302394E0,1.997515852E3,-4.228303313E-1
2.906302602E0,1.999085475E3,-1.555403011E-1
2.916302811E0,1.996673043E3,-5.665251162E-1
2.926303019E0,1.994994709E3,-8.530343314E-1
2.936303227E0,1.995816074E3,-7.127584952E-1
2.946303436E0,1.994053378E3,-1.013940570E0
2.956303644E0,NaN,NaN
2.966303852E0,NaN,NaN
2.976304061E0,1.995198207E3,-8.182693168E-1
2.986304269E0,1.994002435E3,-1.022652754E0
2.996304477E0,NaN,NaN
3.006304686E0,1.994470247E3,-9.426644215E-1
3.016304894E0,NaN,NaN
3.026305102E0,NaN,NaN
3.036305311E0,1.996868620E3,-5.331693880E-1
3.046305519E0,NaN,NaN
3.056305727E0,NaN,NaN
3.066305936E0,NaN,NaN
3.076306144E0,NaN,NaN
3.086306352E0,NaN,NaN
3.096306561E0,NaN,NaN
3.106306769E0,NaN,NaN
