"Time (s)","Frequency (Hz)","Speed (m/s)"
1.701223072E0,1.997484914E3,-4.281030149E-1
1.711223280E0,1.997206141E3,-4.756204361E-1
1.721223489E0,1.997214954E3,-4.741179933E-1
1.731223697E0,1.997317705E3,-4.566025262E-1
1.741223905E0,1.997068602E3,-4.990691285E-1
1.751224114E0,1.997360904E3,-4.492390953E-1
1.761224322E0,1.997084338E3,-4.963861118E-1
1.771224530E0,1.996781801E3,-5.479755126E-1
1.781224739E0,1.996874849E3,-5.321071133E-1
1.791224947E0,1.996294151E3,-6.311639082E-1
1.801225155E0,1.996661129E3,-5.685572762E-1
1.811225364E0,1.996473218E3,-6.006120124E-1
1.821225572E0,2.000429547E3,7.300722766E-2
1.831225780E0,1.997713523E3,-3.891459121E-1
1.841225989E0,1.997352309E3,-4.507041450E-1
1.851226197E0,1.998223141E3,-3.023347147E-1
1.861226405E0,1.997166140E3,-4.824398273E-1
1.871226614E0,1.997267136E3,-4.652225997E-1
1.881226822E0,1.997163266E3,-4.829297694E-1
1.891227030E0,1.996926420E3,-5.233128357E-1
1.901227239E0,1.997185111E3,-4.792056630E-1
1.911227447E0,1.997358385E3,-4.496684835E-1
1.921227655E0,1.997333134E3,-4.539726290E-1
1.931227864E0,1.997370666E3,-4.475751881E-1
1.941228072E0,1.996559125E3,-5.859568933E-1
1.951228280E0,1.996828711E3,-5.399753462E-1
1.961228489E0,1.997173367E3,-4.812077233E-1
1.971228697E0,1.997619376E3,-4.051884622E-1
1.981228905E0,1.997767339E3,-3.799765361E-1
1.991229114E0,1.996920636E3,-5.242991678E-1
2.001229322E0,1.997686283E3,-3.937875274E-1
2.011229530E0,1.997658777E3,-3.984744137E-1
2.021229739E0,1.997936598E3,-3.511406884E-1
2.031229947E0,1.997541365E3,-4.184824253E-1
2.041230156E0,1.998371831E3,-2.770142646E-1
2.051230364E0,1.997129762E3,-4.886417027E-1
2.061230572E0,1.997561909E3,-4.149813755E-1
2.071230781E0,1.997111110E3,-4.918217823E-1
2.081230989E0,1.997750795E3,-3.827953497E-1
2.091231197E0,1.997172221E3,-4.814030905E-1
2.101231406E0,1.997477747E3,-4.293243616E-1
2.111231614E0,1.997462872E3,-4.318595471E-1
2.121231822E0,1.997287435E3,-4.617623454E-1
2.131232031E0,1.997020694E3,-5.072376698E-1
2.141232239E0,1.997375734E3,-4.467113561E-1
2.151232447E0,1.997494594E3,-4.264532173E-1
2.161232656E0,1.996985353E3,-5.132637051E-1
2.171232864E0,1.997040456E3,-5.038680402E-1
2.192506614E0,1.997061711E3,-5.002441157E-1
2.202506822E0,1.997364742E3,-4.485848826E-1
2.212507031E0,1.997017726E3,-5.077436911E-1
2.222507239E0,1.997352519E3,-4.506683210E-1
2.232507447E0,1.996871211E3,-5.327275205E-1
2.242507656E0,1.996997916E3,-5.111214300E-1
2.252507864E0,1.996811643E3,-5.428860905E-1
2.262508072E0,1.996905512E3,-5.268781893E-1
2.272508281E0,1.996873557E3,-5.323275311E-1
2.282508489E0,1.996801990E3,-5.445323892E-1
2.292508697E0,1.996818068E3,-5.417904119E-1
2.302508906E0,1.996721273E3,-5.582988557E-1
2.312509114E0,1.996499878E3,-5.960638640E-1
2.322509322E0,1.997469570E3,-4.307180400E-1
2.332509531E0,1.996568426E3,-5.843702842E-1
2.342509739E0,1.997264423E3,-4.656851151E-1
2.352509947E0,1.996490923E3,-5.975916407E-1
2.362510156E0,1.997175786E3,-4.807952497E-1
2.372510364E0,1.997589302E3,-4.103131998E-1
2.382510572E0,1.997120661E3,-4.901934099E-1
2.392510781E0,1.996964474E3,-5.168238938E-1
2.402510989E0,1.997100437E3,-4.936414433E-1
2.412511197E0,1.997575703E3,-4.126306362E-1
2.422511406E0,1.996987026E3,-5.129784567E-1
2.432511614E0,1.997544712E3,-4.179119809E-1
2.442511822E0,1.996992151E3,-5.121045641E-1
2.452512031E0,1.996659848E3,-5.687756673E-1
2.462512239E0,1.997182422E3,-4.796639362E-1
2.472512447E0,1.997243635E3,-4.692286852E-1
2.482512656E0,1.997453267E3,-4.334966745E-1
2.492512864E0,1.997092559E3,-4.949845848E-1
2.502513072E0,1.996068456E3,-6.696789974E-1
2.512513281E0,1.997471644E3,-4.303645369E-1
2.522513489E0,1.998437735E3,-2.657926761E-1
2.532513697E0,1.999413503E3,-9.973367470E-2
2.542513906E0,1.998701418E3,-2.209024431E-1
2.552514114E0,1.998383542E3,-2.750201794E-1
2.562514322E0,1.998085686E3,-3.257452303E-1
2.572514531E0,1.997921444E3,-3.537222108E-1
2.582514739E0,1.998069083E3,-3.285730925E-1
2.592514948E0,1.997612308E3,-4.063927455E-1
2.602515156E0,1.998004780E3,-3.395260658E-1
2.612515364E0,1.998115490E3,-3.206688183E-1
2.622515573E0,1.997823661E3,-3.703806309E-1
2.632515781E0,1.997442979E3,-4.352501102E-1
2.642515989E0,1.998180955E3,-3.095191510E-1
2.652516198E0,1.996828899E3,-5.399432544E-1
2.662516406E0,1.997547154E3,-4.174958491E-1
2.672516614E0,1.999294376E3,-1.199984842E-1
2.682516823E0,1.998362335E3,-2.786312501E-1
2.692517031E0,1.996727825E3,-5.571813812E-1
2.702517239E0,1.996741025E3,-5.549299567E-1
2.712517448E0,1.998533052E3,-2.495641924E-1
2.722517656E0,1.998344674E3,-2.816384964E-1
2.747614738E0,1.997596957E3,-4.090087396E-1
2.757614946E0,1.996902534E3,-5.273859900E-1
2.767615155E0,1.998165105E3,-3.122186520E-1
2.777615363E0,1.998342603E3,-2.819911289E-1
2.787615571E0,1.996903152E3,-5.272805530E-1
2.797615780E0,1.997460043E3,-4.323417181E-1
2.807615988E0,1.998285547E3,-2.917070848E-1
2.817616196E0,1.996120701E3,-6.607624073E-1
2.827616405E0,1.997753083E3,-3.824055322E-1
2.837616613E0,1.996952975E3,-5.187846677E-1
2.847616821E0,1.998156378E3,-3.137049787E-1
2.857617030E0,1.997206653E3,-4.755330983E-1
2.867617238E0,1.998056855E3,-3.306558361E-1
2.877617446E0,1.998448194E3,-2.640118553E-1
2.887617655E0,1.997940016E3,-3.505583782E-1
2.897617863E0,1.998254633E3,-2.969716054E-1
2.907618071E0,1.998161643E3,-3.128082566E-1
2.917618280E0,1.998711250E3,-2.192287030E-1
2.927618488E0,1.998835898E3,-1.980125367E-1
2.937618696E0,1.999744838E3,-4.338306190E-2
2.947618905E0,1.999414224E3,-9.961103665E-2
2.957619113E0,1.998210537E3,-3.044810746E-1
