"Time (s)","Frequency (Hz)","Speed (m/s)"
5.461722390E-1,NaN,NaN
5.561724473E-1,NaN,NaN
5.661726557E-1,NaN,NaN
5.761728640E-1,NaN,NaN
5.861730724E-1,NaN,NaN
5.961732807E-1,NaN,NaN
6.061734890E-1,NaN,NaN
6.161736974E-1,NaN,NaN
6.261739057E-1,NaN,NaN
6.361741140E-1,NaN,NaN
6.461743224E-1,NaN,NaN
6.561745307E-1,1.999472121E3,-8.976313299E-2
6.661747391E-1,2.000275052E3,4.675241433E-2
6.761749474E-1,2.001067383E3,1.813583610E-1
6.861751557E-1,2.001596649E3,2.712137443E-1
6.961753641E-1,2.001445454E3,2.455496918E-1
7.061755724E-1,2.001189730E3,2.021337937E-1
7.161757807E-1,2.000666989E3,1.133503977E-1
7.261759891E-1,2.000667814E3,1.134904147E-1
7.361761974E-1,2.001612295E3,2.738693436E-1
7.461764058E-1,2.001444389E3,2.453688427E-1
7.561766141E-1,2.001216034E3,2.066002120E-1
7.661768224E-1,2.001001789E3,1.702188064E-1
7.761770308E-1,2.001603768E3,2.724221734E-1
7.861772391E-1,2.001466089E3,2.490526208E-1
7.961774474E-1,2.001299921E3,2.208430308E-1
8.061776558E-1,2.001489501E3,2.530267992E-1
8.161778641E-1,2.002078560E3,3.529882645E-1
8.261780725E-1,2.002245537E3,3.813131188E-1
8.361782808E-1,2.002122791E3,3.604919233E-1
8.461784891E-1,2.001993560E3,3.385676576E-1
8.561786975E-1,2.001639846E3,2.785454473E-1
8.661789058E-1,2.002627432E3,4.460774485E-1
8.761791141E-1,2.007564470E3,1.281114489E0
8.861793225E-1,2.006889989E3,1.167276947E0
8.961795308E-1,2.005160799E3,8.750778379E-1
9.061797392E-1,2.003538019E3,6.004011090E-1
9.161799475E-1,2.003638913E3,6.174917738E-1
9.261801558E-1,2.004274205E3,7.250652397E-1
9.361803642E-1,2.003990101E3,6.769665653E-1
9.461805725E-1,2.003523594E3,5.979574511E-1
9.561807808E-1,2.002877079E3,4.884007706E-1
9.661809892E-1,2.002464398E3,4.184320055E-1
9.761811975E-1,2.002405461E3,4.084371872E-1
9.861814059E-1,2.002948109E3,5.004409322E-1
9.961816142E-1,2.002880366E3,4.889580195E-1
1.006181823E0,2.002337941E3,3.969858352E-1
1.016182031E0,2.001658296E3,2.816768488E-1
