"Time (s)","Frequency (Hz)","Speed (m/s)"
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,+∞,3.400000000E2
0.000000000E0,非數值,非數值
0.000000000E0,+∞,3.400000000E2
7.829940000E-1,非數值,非數值
7.929942083E-1,非數值,非數值
8.029944167E-1,非數值,非數值
8.129946250E-1,非數值,非數值
8.229948333E-1,9.989652156E2,-3.521911301E-1
8.329950417E-1,1.004682163E3,1.584516432E0
8.429952500E-1,非數值,非數值
8.529954583E-1,非數值,非數值
8.629956667E-1,非數值,非數值
8.729958750E-1,非數值,非數值
8.829960834E-1,非數值,非數值
8.929962917E-1,非數值,非數值
9.029965000E-1,非數值,非數值
9.129967084E-1,1.008196836E3,2.764266124E0
9.229969167E-1,非數值,非數值
9.329971250E-1,9.993794174E2,-2.111290908E-1
9.429973334E-1,1.004692504E3,1.587999676E0
9.529975417E-1,1.004277877E3,1.448282558E0
9.629977501E-1,非數值,非數值
9.729979584E-1,非數值,非數值
9.829981667E-1,1.001842408E3,6.252666287E-1
9.929983751E-1,1.001852055E3,6.285345689E-1
1.002998583E0,1.002378533E3,8.067821323E-1
1.012998792E0,9.960610265E2,-1.344547110E0
1.022999000E0,非數值,非數值
1.032999208E0,非數值,非數值
1.042999417E0,非數值,非數值
1.052999625E0,非數值,非數值
1.062999833E0,非數值,非數值
1.073000042E0,非數值,非數值
1.083000250E0,非數值,非數值
1.093000458E0,非數值,非數值
1.103000667E0,非數值,非數值
1.113000875E0,非數值,非數值
1.123001083E0,非數值,非數值
1.133001292E0,非數值,非數值
1.143001500E0,非數值,非數值
1.153001708E0,非數值,非數值
1.163001917E0,非數值,非數值
1.173002125E0,非數值,非數值
1.183002333E0,非數值,非數值
1.193002542E0,9.956910855E2,-1.471370955E0
1.203002750E0,9.964402640E2,-1.214634003E0
1.213002958E0,9.963208331E2,-1.255536067E0
1.223003167E0,9.950540823E2,-1.689970474E0
1.233003375E0,9.942402563E2,-1.969657585E0
1.243003584E0,9.996154858E2,-1.307851235E-1
1.253003792E0,非數值,非數值
1.263004000E0,非數值,非數值
1.273004209E0,非數值,非數值
1.305581750E0,9.986909758E2,-4.456515978E-1
1.315581958E0,非數值,非數值
1.325582167E0,非數值,非數值
1.335582375E0,非數值,非數值
1.345582583E0,1.005775316E3,1.952332118E0
1.355582792E0,非數值,非數值
1.365583000E0,非數值,非數值
1.375583208E0,非數值,非數值
1.385583417E0,1.004367577E3,1.478518594E0
1.395583625E0,1.000875408E3,2.973785474E-1
1.405583833E0,非數值,非數值
1.415584042E0,1.005634981E3,1.905157924E0
1.425584250E0,9.961254802E2,-1.322460626E0
1.435584458E0,9.953191947E2,-1.598958198E0
1.445584667E0,9.973846378E2,-8.915548836E-1
1.455584875E0,非數值,非數值
1.465585083E0,1.005126603E3,1.734154605E0
1.475585292E0,1.006165979E3,2.083585626E0
1.485585500E0,1.007086412E3,2.392426300E0
1.495585708E0,1.002703025E3,9.165511324E-1
1.505585917E0,9.980363404E2,-6.689578856E-1
1.515586125E0,9.988014502E2,-4.079959189E-1
1.525586333E0,9.972911173E2,-9.235218165E-1
1.535586542E0,9.978595778E2,-7.293045761E-1
1.545586750E0,9.974695320E2,-8.625417384E-1
1.555586958E0,9.961218641E2,-1.323699697E0
1.565587167E0,非數值,非數值
1.575587375E0,非數值,非數值
1.585587583E0,非數值,非數值
1.595587792E0,非數值,非數值
1.605588000E0,非數值,非數值
1.615588208E0,1.000348582E3,1.184765873E-1
1.625588417E0,9.989809994E2,-3.468135957E-1
1.635588625E0,9.954012808E2,-1.570788137E0
1.645588833E0,9.958622269E2,-1.412688225E0
1.655589042E0,1.000102989E3,3.501260591E-2
1.665589250E0,非數值,非數值
1.675589458E0,非數值,非數值
1.685589667E0,非數值,非數值
1.695589875E0,非數值,非數值
1.705590084E0,非數值,非數值
1.715590292E0,非數值,非數值
1.725590500E0,1.000503157E3,1.709872629E-1
1.735590709E0,9.946552972E2,-1.826963519E0
1.745590917E0,9.962160652E2,-1.291424486E0
1.755591125E0,非數值,非數值
1.765591334E0,非數值,非數值
1.775591542E0,非數值,非數值
1.785591750E0,9.948253329E2,-1.768538401E0
1.795591959E0,非數值,非數值
1.831701000E0,1.002452767E3,8.319003564E-1
1.841701208E0,非數值,非數值
1.851701417E0,非數值,非數值
1.861701625E0,1.007792162E3,2.628850766E0
1.871701833E0,9.966407341E2,-1.146000131E0
1.881702042E0,9.983086815E2,-5.760225130E-1
1.891702250E0,非數值,非數值
1.901702458E0,1.000449382E3,1.527211068E-1
1.911702667E0,1.003657480E3,1.239011447E0
1.921702875E0,1.000095625E3,3.250949996E-2
1.931703083E0,1.007049651E3,2.380102541E0
1.941703292E0,1.006877999E3,2.322545123E0
1.951703500E0,1.009280584E3,3.126383901E0
1.961703708E0,非數值,非數值
1.971703917E0,1.002310257E3,7.836769718E-1
1.981704125E0,非數值,非數值
1.991704333E0,1.001039138E3,3.529400060E-1
2.001704542E0,非數值,非數值
2.011704750E0,非數值,非數值
2.021704958E0,1.000500800E3,1.701867879E-1
2.031705167E0,1.005533908E3,1.871173762E0
2.041705375E0,非數值,非數值
2.051705583E0,非數值,非數值
2.061705792E0,1.002762442E3,9.366428930E-1
2.071706000E0,9.982599436E2,-5.926504150E-1
2.081706208E0,9.977220420E2,-7.762740547E-1
2.091706417E0,9.959904573E2,-1.368732512E0
2.101706625E0,9.956979475E2,-1.469017625E0
2.111706833E0,9.943222166E2,-1.941469584E0
2.121707042E0,9.992359072E2,-2.599902210E-1
2.131707250E0,9.982147908E2,-6.080566327E-1
2.141707458E0,非數值,非數值
2.151707667E0,非數值,非數值
2.161707875E0,9.958930902E2,-1.402107646E0
2.171708083E0,非數值,非數值
2.181708292E0,非數值,非數值
2.191708500E0,9.981801080E2,-6.198914063E-1
2.201708708E0,9.967032278E2,-1.124610130E0
2.211708917E0,非數值,非數值
2.221709125E0,非數值,非數值
2.231709333E0,非數值,非數值
2.241709542E0,非數值,非數值
2.251709750E0,非數值,非數值
2.261709959E0,非數值,非數值
2.271710167E0,非數值,非數值
2.281710375E0,9.959513566E2,-1.382134521E0
2.291710584E0,9.991593534E2,-2.860603200E-1
2.301710792E0,9.990281059E2,-3.307654463E-1
2.311711000E0,9.960697977E2,-1.341541318E0
2.321711209E0,非數值,非數值
2.357503500E0,非數值,非數值
2.367503708E0,非數值,非數值
2.377503917E0,非數值,非數值
2.387504125E0,非數值,非數值
2.397504333E0,1.006815129E3,2.301459170E0
2.407504542E0,非數值,非數值
2.417504750E0,9.962818103E2,-1.268902527E0
2.427504958E0,9.987519534E2,-4.248661090E-1
2.437505167E0,1.002895886E3,9.817583089E-1
2.447505375E0,1.000310955E3,1.056919280E-1
2.457505583E0,非數值,非數值
2.467505792E0,1.010200493E3,3.433147702E0
2.477506000E0,非數值,非數值
2.487506208E0,非數值,非數值
2.497506417E0,非數值,非數值
2.507506625E0,非數值,非數值
2.517506833E0,1.006993951E3,2.361427474E0
2.527507042E0,1.003964966E3,1.342764490E0
2.537507250E0,非數值,非數值
2.547507458E0,非數值,非數值
2.557507667E0,9.995962473E2,-1.373313798E-1
2.567507875E0,1.001679316E3,5.700103611E-1
2.577508083E0,非數值,非數值
2.587508292E0,非數值,非數值
2.597508500E0,1.002631204E3,8.922617435E-1
2.607508708E0,9.999292937E2,-2.404183736E-2
2.617508917E0,9.987624754E2,-4.212796929E-1
2.627509125E0,9.957117950E2,-1.464268781E0
2.637509333E0,9.960254874E2,-1.356726595E0
2.647509542E0,9.945296800E2,-1.870139048E0
2.657509750E0,9.984317893E2,-5.340291168E-1
2.667509958E0,1.003155616E3,1.069534414E0
2.677510167E0,非數值,非數值
2.687510375E0,非數值,非數值
2.697510583E0,1.002547453E3,8.639330575E-1
2.707510792E0,9.997941328E2,-7.000925868E-2
2.717511000E0,1.001694556E3,5.751742566E-1
2.727511208E0,9.954099401E2,-1.567816725E0
2.737511417E0,非數值,非數值
2.747511625E0,非數值,非數值
2.757511833E0,非數值,非數值
2.767512042E0,非數值,非數值
2.777512250E0,非數值,非數值
2.787512459E0,非數值,非數值
2.797512667E0,非數值,非數值
2.807512875E0,非數值,非數值
2.817513084E0,9.958833493E2,-1.405446975E0
2.827513292E0,9.964745641E2,-1.202888908E0
2.837513500E0,9.964642652E2,-1.206415396E0
2.847513709E0,9.950279073E2,-1.698958908E0
2.857513917E0,非數值,非數值
2.867514125E0,非數值,非數值
2.877514334E0,非數值,非數值
2.887514542E0,非數值,非數值
2.897514750E0,1.002315547E3,7.854672749E-1
2.907514959E0,9.969841924E2,-1.028476285E0
2.917515167E0,9.984560972E2,-5.257386554E-1
2.927515375E0,非數值,非數值
2.937515584E0,非數值,非數值
2.947515792E0,非數值,非數值
2.883950375E0,非數值,非數值
2.893950583E0,1.000629060E3,2.137457851E-1
2.903950792E0,非數值,非數值
2.913951000E0,9.944170999E2,-1.908842899E0
2.923951208E0,非數值,非數值
2.933951417E0,非數值,非數值
2.943951625E0,9.945165228E2,-1.874661918E0
2.953951833E0,非數值,非數值
2.963952042E0,1.000606878E3,2.062132550E-1
2.973952250E0,1.004358096E3,1.475323092E0
2.983952458E0,1.005791966E3,1.957928058E0
2.993952667E0,1.005080240E3,1.718551020E0
3.003952875E0,1.000547365E3,1.860024105E-1
3.013953083E0,1.002746757E3,9.313391895E-1
3.023953292E0,9.989774312E2,-3.480292694E-1
3.033953500E0,9.989958931E2,-3.417394844E-1
3.043953708E0,9.986690008E2,-4.531428556E-1
3.053953917E0,非數值,非數值
3.063954125E0,非數值,非數值
3.073954333E0,9.963769269E2,-1.236324158E0
3.083954542E0,非數值,非數值
3.093954750E0,非數值,非數值
3.103954958E0,非數值,非數值
3.113955167E0,9.961205111E2,-1.324163304E0
3.123955375E0,非數值,非數值
3.133955583E0,非數值,非數值
3.143955792E0,非數值,非數值
3.153956000E0,非數值,非數值
3.163956208E0,非數值,非數值
3.173956417E0,9.950560027E2,-1.689311028E0
3.183956625E0,非數值,非數值
3.193956833E0,非數值,非數值
3.203957042E0,非數值,非數值
3.213957250E0,9.968856456E2,-1.062188524E0
3.223957458E0,9.964246468E2,-1.219981971E0
3.233957667E0,非數值,非數值
3.243957875E0,9.944017687E2,-1.914114283E0
3.253958083E0,非數值,非數值
3.263958292E0,非數值,非數值
3.273958500E0,9.982405337E2,-5.992729341E-1
3.283958708E0,1.007531594E3,2.541599696E0
3.293958917E0,1.005663314E3,1.914683417E0
3.303959125E0,1.006635795E3,2.241297514E0
3.313959334E0,9.986922886E2,-4.452040700E-1
3.323959542E0,9.988201196E2,-4.016332240E-1
3.333959750E0,9.956463613E2,-1.486709749E0
3.343959959E0,非數值,非數值
3.353960167E0,1.004741406E3,1.604470733E0
3.363960375E0,非數值,非數值
3.373960584E0,非數值,非數值
3.405590083E0,9.991308540E2,-2.957667202E-1
3.415590292E0,非數值,非數值
3.425590500E0,非數值,非數值
