"Time (s)","Frequency (Hz)","Speed (m/s)"
5.589680730E-1,NaN,NaN
6.089691147E-1,NaN,NaN
6.589701564E-1,NaN,NaN
7.089711981E-1,1.002891246E3,9.801897770E-1
7.589722398E-1,1.004331809E3,1.466462636E0
8.089732814E-1,1.002857442E3,9.687621414E-1
8.589743231E-1,9.968160101E2,-1.086014426E0
9.089753648E-1,1.007578591E3,2.557339998E0
9.589764065E-1,1.003877954E3,1.313410889E0
1.111475000E0,1.004379600E3,1.482570891E0
1.161476042E0,NaN,NaN
1.211477083E0,1.004866381E3,1.646556636E0
1.261478125E0,1.007220309E3,2.437306969E0
1.311479167E0,1.002237829E3,7.591629478E-1
1.361480208E0,1.001309097E3,4.445112142E-1
1.411481250E0,9.979163793E2,-7.099102362E-1
1.461482292E0,9.987779531E2,-4.160043127E-1
1.511483334E0,9.935143736E2,-2.219507859E0
1.561484375E0,9.933739569E2,-2.267881732E0
1.611485417E0,9.933871473E2,-2.263337018E0
1.679501666E0,9.928435239E2,-2.450740543E0
1.729502708E0,9.953760188E2,-1.579457001E0
1.779503749E0,NaN,NaN
1.829504791E0,NaN,NaN
1.879505833E0,1.006171088E3,2.085301418E0
1.929506874E0,1.002627824E3,8.911185169E-1
1.979507916E0,1.005201783E3,1.759453943E0
2.029508958E0,1.000882492E3,2.997828918E-1
2.079510000E0,9.956255874E2,-1.493834920E0
2.129511041E0,1.009990186E3,3.363065467E0
2.179512083E0,1.003822168E3,1.294588913E0
2.251730208E0,1.005822849E3,1.968307512E0
2.301731250E0,1.007579931E3,2.557788549E0
2.351732291E0,1.005077659E3,1.717682309E0
2.401733333E0,1.008221336E3,2.772460887E0
2.451734375E0,1.000204395E3,6.948020406E-2
2.501735416E0,1.000640536E3,2.176427095E-1
2.551736458E0,9.965794619E2,-1.166974632E0
2.601737500E0,9.953766721E2,-1.579232784E0
2.651738542E0,9.940005622E2,-2.052120416E0
2.701739583E0,9.928310673E2,-2.455037120E0
2.751740625E0,9.933689764E2,-2.269597785E0
2.791658072E0,9.954679675E2,-1.547906212E0
2.841659114E0,9.968137405E2,-1.086791043E0
2.891660155E0,9.908450343E2,-3.141448172E0
2.941661197E0,1.005719107E3,1.933438920E0
2.991662239E0,NaN,NaN
3.041663280E0,1.004842727E3,1.638592069E0
3.091664322E0,1.003489682E3,1.182365872E0
3.141665364E0,9.965716682E2,-1.169642741E0
3.191666406E0,1.009379484E3,3.159391137E0
3.241667447E0,9.967243733E2,-1.117373179E0
