"Time (s)","Frequency (Hz)","Speed (m/s)"
5.524330720E-1,NaN,NaN
6.024341137E-1,NaN,NaN
6.524351554E-1,9.948033691E2,-1.776084154E0
7.024361971E-1,NaN,NaN
7.524372388E-1,9.962196283E2,-1.290203832E0
8.024382804E-1,9.968302357E2,-1.081146857E0
8.524393221E-1,NaN,NaN
9.024403638E-1,1.002309767E3,7.835110407E-1
9.524414055E-1,1.003678837E3,1.246219937E0
1.116956249E0,1.000907156E3,3.081535685E-1
1.166957291E0,1.000320904E3,1.090722673E-1
1.216958332E0,NaN,NaN
1.266959374E0,1.005278970E3,1.785424737E0
1.316960416E0,1.004134343E3,1.399889005E0
1.366961457E0,1.009722824E3,3.273928333E0
1.416962499E0,1.003928583E3,1.330491129E0
1.466963541E0,1.006373127E3,2.153141012E0
1.516964583E0,1.000985719E3,3.348145401E-1
1.566965624E0,1.001836231E3,6.231742341E-1
1.616966666E0,9.963536998E2,-1.244279070E0
1.676460520E0,9.978129259E2,-7.452350760E-1
1.726461562E0,NaN,NaN
1.776462603E0,NaN,NaN
1.826463645E0,9.914708538E2,-2.924856236E0
1.876464687E0,9.934519489E2,-2.241011629E0
1.926465728E0,NaN,NaN
1.976466770E0,9.972894604E2,-9.240882253E-1
2.026467812E0,1.000900544E3,3.059093166E-1
2.076468854E0,1.005972137E3,2.018472092E0
2.126469895E0,1.003521064E3,1.192961259E0
2.176470937E0,NaN,NaN
2.235214842E0,1.003362762E3,1.139507280E0
2.285215884E0,9.977563239E2,-7.645653180E-1
2.335216925E0,9.984221508E2,-5.373165428E-1
2.385217967E0,NaN,NaN
2.435219009E0,1.003789451E3,1.283549319E0
2.485220050E0,1.003843641E3,1.301834318E0
2.535221092E0,NaN,NaN
2.585222134E0,1.004141449E3,1.402285228E0
2.635223176E0,1.004804066E3,1.625573016E0
2.685224217E0,1.001600890E3,5.434326760E-1
2.735225259E0,1.001907221E3,6.472205839E-1
2.793262863E0,9.974568744E2,-8.668672613E-1
2.843263905E0,9.964499144E2,-1.211329430E0
2.893264946E0,9.938022527E2,-2.120375630E0
2.943265988E0,9.948848825E2,-1.748081594E0
2.993267030E0,9.909372302E2,-3.109522625E0
3.043268071E0,1.008291577E3,2.795953412E0
3.093269113E0,1.000058474E3,1.988001714E-2
3.143270155E0,NaN,NaN
3.193271197E0,NaN,NaN
3.243272238E0,1.000002560E3,8.705537884E-4
3.293273280E0,1.001293196E3,4.391187360E-1
3.352032290E0,1.008345065E3,2.813840578E0
3.402033332E0,NaN,NaN
3.452034373E0,1.000820009E3,2.785747938E-1
3.502035415E0,NaN,NaN
3.552036457E0,9.947471932E2,-1.795385118E0
3.602037498E0,1.004229292E3,1.431903299E0
3.652038540E0,1.004628365E3,1.566394293E0
3.702039582E0,1.007703953E3,2.599319156E0
3.752040624E0,1.006880470E3,2.323373781E0
3.802041665E0,1.002131995E3,7.233362902E-1
3.852042707E0,1.002369567E3,8.037482987E-1
3.917502081E0,9.996960560E2,-1.033723767E-1
3.967503123E0,9.969796884E2,-1.030016921E0
4.017504164E0,9.949650077E2,-1.720560400E0
4.067505206E0,9.909435229E2,-3.107343788E0
4.117506248E0,9.974480770E2,-8.698736831E-1
4.167507289E0,NaN,NaN
4.217508331E0,NaN,NaN
4.267509373E0,1.009506563E3,3.201793495E0
4.317510415E0,1.002178688E3,7.391436008E-1
4.367511456E0,1.008043577E3,2.712994032E0
4.417512498E0,1.000530880E3,1.804033712E-1
4.477453487E0,NaN,NaN
4.527454529E0,NaN,NaN
4.577455570E0,1.001694588E3,5.751852916E-1
4.627456612E0,9.983352966E2,-5.669429343E-1
4.677457654E0,9.927720162E2,-2.475406688E0
4.727458695E0,1.003125383E3,1.059319400E0
4.777459737E0,1.003884786E3,1.315716033E0
4.827460779E0,1.007373358E3,2.488592445E0
4.877461821E0,1.003776595E3,1.279211310E0
4.927462862E0,1.004516597E3,1.528738391E0
4.977463904E0,1.000797359E3,2.708860909E-1
5.039845779E0,1.001262702E3,4.287772506E-1
5.089846821E0,9.968808257E2,-1.063837549E0
5.139847862E0,9.977876112E2,-7.538800699E-1
5.189848904E0,9.938901227E2,-2.090128701E0
5.239849946E0,9.944871316E2,-1.884765706E0
5.289850987E0,NaN,NaN
5.339852029E0,NaN,NaN
5.389853071E0,9.993873610E2,-2.084249353E-1
5.439854113E0,NaN,NaN
5.489855154E0,1.009325096E3,3.141240205E0
5.539856196E0,1.001868365E3,6.340593924E-1
5.594323591E0,1.002286760E3,7.757245227E-1
5.644324633E0,NaN,NaN
5.694325674E0,1.003138592E3,1.063782584E0
5.744326716E0,9.953878753E2,-1.575388270E0
5.794327758E0,NaN,NaN
5.844328799E0,1.000885293E3,3.007335262E-1
5.894329841E0,1.004171108E3,1.412285948E0
5.944330883E0,1.005364798E3,1.814298134E0
5.994331925E0,1.007132677E3,2.407935012E0
6.044332966E0,1.007373504E3,2.488641411E0
6.094334008E0,1.000787588E3,2.675690228E-1
6.161509841E0,1.003426476E3,1.161023608E0
6.211510883E0,9.982062824E2,-6.109598620E-1
6.261511924E0,9.974297418E2,-8.761396854E-1
6.311512966E0,9.969404609E2,-1.043435727E0
6.361514008E0,NaN,NaN
6.411515049E0,9.950941808E2,-1.676201678E0
6.461516091E0,9.926085016E2,-2.531823435E0
6.511517133E0,1.008564261E3,2.887122711E0
6.561518175E0,1.002766482E3,9.380089276E-1
6.611519216E0,1.001770250E3,6.008212513E-1
6.661520258E0,NaN,NaN
6.734036716E0,1.000118613E3,4.032348046E-2
6.784037758E0,NaN,NaN
6.834038799E0,9.911599238E2,-3.032432841E0
6.884039841E0,1.004374216E3,1.480756206E0
6.934040883E0,NaN,NaN
6.984041924E0,9.911032596E2,-3.052044978E0
7.034042966E0,1.001769440E3,6.005470519E-1
7.084044008E0,1.006057160E3,2.047035130E0
7.134045050E0,1.004310158E3,1.459164525E0
7.184046091E0,1.006543259E3,2.210245727E0
7.234047133E0,NaN,NaN
7.292595882E0,1.000383800E3,1.304419469E-1
7.342596924E0,1.002438152E3,8.269552891E-1
7.392597965E0,9.992947521E2,-2.399535196E-1
7.442599007E0,9.971664929E2,-9.661299536E-1
7.492600049E0,9.979231263E2,-7.076066790E-1
7.542601090E0,9.963807663E2,-1.235009259E0
7.592602132E0,9.955075733E2,-1.534317905E0
7.642603174E0,9.945751354E2,-1.854514459E0
7.692604216E0,NaN,NaN
7.742605257E0,9.971288256E2,-9.790102040E-1
7.792606299E0,NaN,NaN
7.847448122E0,NaN,NaN
7.897449164E0,NaN,NaN
7.947450205E0,NaN,NaN
7.997451247E0,1.004877433E3,1.650278265E0
8.047452289E0,1.007339701E3,2.477315728E0
8.097453330E0,NaN,NaN
8.147454372E0,NaN,NaN
8.197455414E0,NaN,NaN
8.247456456E0,9.945352057E2,-1.868239624E0
8.297457497E0,1.002138652E3,7.255899160E-1
8.347458539E0,1.004747287E3,1.606451332E0
8.416425621E0,1.005080415E3,1.718609852E0
8.466426663E0,1.005201337E3,1.759303920E0
8.516427704E0,1.005886566E3,1.989719885E0
8.566428746E0,1.000987326E3,3.353596712E-1
8.616429788E0,1.002678136E3,9.081340144E-1
8.666430829E0,1.002205158E3,7.481041783E-1
8.716431871E0,9.980513822E2,-6.638235959E-1
8.766432913E0,9.974553916E2,-8.673739696E-1
8.816433955E0,9.955474791E2,-1.520627731E0
8.866434996E0,9.940419499E2,-2.037878820E0
8.916436038E0,9.958943410E2,-1.401678876E0
8.983788434E0,1.000885902E3,3.009402294E-1
9.033789476E0,NaN,NaN
9.083790517E0,NaN,NaN
9.133791559E0,NaN,NaN
9.183792601E0,1.007317474E3,2.469868044E0
9.233793642E0,NaN,NaN
9.283794684E0,1.002061910E3,6.996070386E-1
9.333795726E0,1.001622197E3,5.506535466E-1
9.383796768E0,1.008760072E3,2.952559677E0
9.433797809E0,1.003027757E3,1.026329908E0
9.483798851E0,1.009369515E3,3.156064203E0
9.553920465E0,9.959339676E2,-1.388095047E0
9.603921507E0,1.004743304E3,1.605109982E0
9.653922548E0,1.003841998E3,1.301279799E0
9.703923590E0,1.005919674E3,2.000844779E0
9.753924632E0,1.004489022E3,1.519446765E0
9.803925673E0,1.006337216E3,2.141084871E0
9.853926715E0,1.000579052E3,1.967638661E-1
9.903927757E0,1.002888170E3,9.791498384E-1
9.953928799E0,1.001115594E3,3.788791626E-1
1.000392984E1,9.980046387E2,-6.797792367E-1
1.005393088E1,9.971716973E2,-9.643504057E-1
1.011723041E1,9.937208262E2,-2.148409337E0
1.016723145E1,9.946823409E2,-1.817669847E0
1.021723250E1,9.954076126E2,-1.568615420E0
1.026723354E1,NaN,NaN
1.031723458E1,9.995707512E2,-1.460072753E-1
1.036723562E1,1.007542468E3,2.545241805E0
1.041723666E1,1.002559730E3,8.680862477E-1
1.046723770E1,1.006451646E3,2.179498129E0
1.051723875E1,1.001971515E3,6.689960891E-1
1.056723979E1,1.003133164E3,1.061948647E0
1.061724083E1,9.970915044E2,-9.917730638E-1
1.068146500E1,NaN,NaN
1.073146604E1,NaN,NaN
1.078146708E1,1.007786576E3,2.626980635E0
1.083146812E1,9.913924561E2,-2.951974176E0
1.088146916E1,1.000628370E3,2.135116090E-1
1.093147020E1,1.005468014E3,1.849014233E0
1.098147125E1,1.004307521E3,1.458275448E0
1.103147229E1,1.006116337E3,2.066912812E0
1.108147333E1,1.005382463E3,1.820240170E0
1.113147437E1,1.002384087E3,8.086616601E-1
1.118147541E1,1.002736921E3,9.280132902E-1
1.124217921E1,9.990193967E2,-3.337323722E-1
1.129218026E1,9.963959796E2,-1.229799160E0
1.134218130E1,9.961545597E2,-1.312496829E0
1.139218234E1,9.957866577E2,-1.438597694E0
