"Time (s)","Frequency (Hz)","Speed (m/s)"
5.510534890E-1,NaN,NaN
5.610536973E-1,NaN,NaN
5.710539057E-1,NaN,NaN
5.810541140E-1,NaN,NaN
5.910543224E-1,NaN,NaN
6.010545307E-1,NaN,NaN
6.110547390E-1,NaN,NaN
6.210549474E-1,NaN,NaN
6.310551557E-1,NaN,NaN
6.410553640E-1,NaN,NaN
6.510555724E-1,NaN,NaN
6.610557807E-1,NaN,NaN
6.710559891E-1,1.004789522E3,1.620675140E0
6.810561974E-1,1.007019046E3,2.369841743E0
6.910564057E-1,NaN,NaN
7.010566141E-1,1.009369367E3,3.156014831E0
7.110568224E-1,1.005895120E3,1.992594239E0
7.210570307E-1,1.002991634E3,1.014121587E0
7.310572391E-1,1.005527604E3,1.869053973E0
7.410574474E-1,1.007909532E3,2.668137177E0
7.510576558E-1,1.005590038E3,1.890047471E0
7.610578641E-1,1.003124450E3,1.059004282E0
7.710580724E-1,1.004184756E3,1.416887783E0
7.810582808E-1,1.004587949E3,1.552778544E0
7.910584891E-1,1.000526241E3,1.788276663E-1
8.010586974E-1,9.966310883E2,-1.149301885E0
8.110589058E-1,9.964032109E2,-1.227322715E0
8.210591141E-1,1.001273505E3,4.324411495E-1
8.310593225E-1,1.005652600E3,1.911081323E0
8.410595308E-1,1.005312715E3,1.796777240E0
8.510597391E-1,1.003627063E3,1.228744689E0
8.610599475E-1,1.000527943E3,1.794058228E-1
8.710601558E-1,9.993955162E2,-2.056488018E-1
8.810603641E-1,9.955023850E2,-1.536097879E0
8.910605725E-1,NaN,NaN
9.010607808E-1,NaN,NaN
9.110609892E-1,NaN,NaN
9.210611975E-1,9.929122992E2,-2.427020267E0
9.310614058E-1,9.934979674E2,-2.225159150E0
9.410616142E-1,9.968443662E2,-1.076311927E0
9.510618225E-1,9.961573220E2,-1.311550381E0
9.610620308E-1,NaN,NaN
9.710622392E-1,NaN,NaN
9.810624475E-1,9.930098549E2,-2.393379387E0
9.910626559E-1,9.946306561E2,-1.835432007E0
1.001062864E0,9.940273475E2,-2.042903388E0
1.011063073E0,NaN,NaN
1.021063281E0,NaN,NaN
1.111632499E0,NaN,NaN
1.121632707E0,9.931624358E2,-2.340777058E0
1.131632916E0,9.946611574E2,-1.824949616E0
1.141633124E0,NaN,NaN
1.151633332E0,NaN,NaN
