"Time (s)","Frequency (Hz)","Speed (m/s)"
5.402424470E-1,NaN,NaN
5.502426553E-1,NaN,NaN
5.602428637E-1,NaN,NaN
5.702430720E-1,NaN,NaN
5.802432804E-1,NaN,NaN
5.902434887E-1,NaN,NaN
6.002436970E-1,NaN,NaN
6.102439054E-1,NaN,NaN
6.202441137E-1,NaN,NaN
6.302443220E-1,NaN,NaN
6.402445304E-1,NaN,NaN
6.502447387E-1,1.997533663E3,-4.197949424E-1
6.602449471E-1,1.997144468E3,-4.861344728E-1
6.702451554E-1,1.996900791E3,-5.276831575E-1
6.802453637E-1,1.998178104E3,-3.100047729E-1
6.902455721E-1,1.997979298E3,-3.438667500E-1
7.002457804E-1,1.998129880E3,-3.182180258E-1
7.102459887E-1,1.997555902E3,-4.160050703E-1
7.202461971E-1,1.997980017E3,-3.437443089E-1
7.302464054E-1,1.997675626E3,-3.956033838E-1
7.402466138E-1,1.997951350E3,-3.486275364E-1
7.502468221E-1,1.997936942E3,-3.510820049E-1
7.602470304E-1,1.997804896E3,-3.735777535E-1
7.702472388E-1,1.997511438E3,-4.235826076E-1
7.802474471E-1,1.997674462E3,-3.958016035E-1
7.902476554E-1,1.998477051E3,-2.590986926E-1
8.002478638E-1,1.998251542E3,-2.974979326E-1
8.102480721E-1,1.996972826E3,-5.153997353E-1
8.202482805E-1,1.998042973E3,-3.330204514E-1
8.302484888E-1,1.996728496E3,-5.570669074E-1
8.402486971E-1,1.997878508E3,-3.610365418E-1
8.502489055E-1,1.997815424E3,-3.717840995E-1
8.602491138E-1,NaN,NaN
8.702493221E-1,NaN,NaN
8.802495305E-1,NaN,NaN
8.902497388E-1,1.997571328E3,-4.133761738E-1
9.002499472E-1,2.000052158E3,8.866563262E-3
9.102501555E-1,1.998337568E3,-2.828484860E-1
9.202503638E-1,1.996161018E3,-6.538820217E-1
9.302505722E-1,1.997456939E3,-4.328707625E-1
9.402507805E-1,2.000161011E3,2.736960728E-2
9.502509888E-1,2.002854917E3,4.846440413E-1
9.602511972E-1,2.003902247E3,6.620901364E-1
9.702514055E-1,2.001772301E3,3.010244610E-1
9.802516139E-1,2.000215013E3,3.654825750E-2
9.902518222E-1,2.000138128E3,2.348011641E-2
1.000252031E0,1.999876407E3,-2.101209154E-2
1.010252239E0,2.001628682E3,2.766506670E-1
1.103429166E0,2.003155550E3,5.355983920E-1
1.113429374E0,2.002795164E3,4.745146438E-1
1.123429583E0,2.001376981E3,2.339257033E-1
1.133429791E0,2.002518904E3,4.276749595E-1
1.143429999E0,2.001756323E3,2.983129064E-1
1.153430208E0,2.001010089E3,1.716284824E-1
1.163430416E0,2.000910214E3,1.546660194E-1
1.173430624E0,2.002004272E3,3.403852118E-1
1.183430833E0,2.002643227E3,4.487555010E-1
1.193431041E0,1.998945217E3,-1.794076780E-1
1.203431249E0,1.998478907E3,-2.587826285E-1
1.213431458E0,2.003504813E3,5.947758491E-1
1.223431666E0,2.001794791E3,3.048409199E-1
1.233431874E0,1.999832707E3,-2.844212108E-2
1.243432083E0,2.000149429E3,2.540104839E-2
1.253432291E0,2.001658942E3,2.817864734E-1
1.263432499E0,2.000057021E3,9.693329297E-3
1.273432708E0,2.001878538E3,3.190517008E-1
1.283432916E0,2.001685244E3,2.862502208E-1
1.293433124E0,2.000393261E3,6.684127156E-2
1.303433333E0,1.999165127E3,-1.419877061E-1
1.313433541E0,1.999998136E3,-3.168450969E-4
1.323433749E0,1.999776638E3,-3.797581083E-2
1.333433958E0,1.997615434E3,-4.058600642E-1
1.343434166E0,1.998173576E3,-3.107758340E-1
1.353434374E0,1.998093717E3,-3.243773567E-1
1.363434583E0,2.003253729E3,5.522354503E-1
1.373434791E0,2.000797144E3,1.354604710E-1
1.383434999E0,1.999732439E3,-4.549151620E-2
1.393435208E0,2.000051694E3,8.787836407E-3
1.403435416E0,NaN,NaN
1.413435624E0,NaN,NaN
1.423435833E0,2.007561777E3,1.280659982E0
1.433436041E0,2.001194397E3,2.029263088E-1
1.443436249E0,2.003747539E3,6.358900575E-1
1.453436458E0,2.001244611E3,2.114523379E-1
1.463436666E0,NaN,NaN
1.473436874E0,1.996626842E3,-5.744055741E-1
1.483437083E0,2.000776629E3,1.319756958E-1
1.493437291E0,1.999121307E3,-1.494434193E-1
1.503437500E0,NaN,NaN
1.513437708E0,2.000381400E3,6.482560179E-2
1.523437916E0,1.995586468E3,-7.519598924E-1
1.533438125E0,NaN,NaN
1.543438333E0,2.004509098E3,7.648222769E-1
1.553438541E0,1.996576551E3,-5.829841623E-1
1.563438750E0,NaN,NaN
1.573438958E0,NaN,NaN
1.583439166E0,NaN,NaN
1.593439375E0,1.998008425E3,-3.389051805E-1
1.603439583E0,1.997897546E3,-3.577932573E-1
1.613439791E0,2.004204595E3,7.132815470E-1
1.623440000E0,2.007809807E3,1.322502931E0
1.633440208E0,NaN,NaN
1.643440416E0,NaN,NaN
1.653440625E0,NaN,NaN
1.651832551E0,2.008629604E3,1.460729918E0
1.661832759E0,2.005948530E3,1.008251264E0
1.671832968E0,2.000560314E3,9.522668053E-2
1.681833176E0,1.999782529E3,-3.697405050E-2
1.691833384E0,2.001623977E3,2.758521121E-1
1.701833593E0,2.000213343E3,3.626450895E-2
1.711833801E0,1.995134711E3,-8.291161595E-1
1.721834009E0,NaN,NaN
1.731834218E0,2.002329048E3,3.954775910E-1
1.741834426E0,2.002488792E3,4.225687410E-1
1.751834634E0,2.002824835E3,4.795447086E-1
1.761834843E0,2.003716594E3,6.306491142E-1
1.771835051E0,1.998960791E3,-1.767574338E-1
1.781835259E0,NaN,NaN
1.791835468E0,1.995870242E3,-7.035115077E-1
1.801835676E0,1.999933098E3,-1.137380470E-2
1.811835884E0,1.999320963E3,-1.154754861E-1
1.821836093E0,1.998615545E3,-2.355203842E-1
1.831836301E0,2.004406795E3,7.475080323E-1
1.841836509E0,1.999490370E3,-8.665910536E-2
1.851836718E0,2.001631533E3,2.771344602E-1
1.861836926E0,2.001697113E3,2.882646795E-1
1.871837134E0,1.996566172E3,-5.847546505E-1
1.881837343E0,1.998131598E3,-3.179252810E-1
1.891837551E0,1.994603852E3,-9.198269475E-1
1.901837759E0,1.996724942E3,-5.576730439E-1
1.911837968E0,2.003156319E3,5.357288283E-1
1.921838176E0,1.999284409E3,-1.216940339E-1
1.931838384E0,1.997229186E3,-4.716918307E-1
1.941838593E0,1.996885453E3,-5.302988604E-1
1.951838801E0,1.995731058E3,-7.272724701E-1
1.961839009E0,1.998864489E3,-1.931465871E-1
1.971839218E0,2.001904687E3,3.234887800E-1
1.981839426E0,1.998236402E3,-3.000763013E-1
1.991839634E0,1.998400431E3,-2.721443017E-1
2.001839843E0,1.999275327E3,-1.232390410E-1
2.011840051E0,1.998561896E3,-2.446535575E-1
2.021840259E0,1.996161155E3,-6.538586785E-1
2.031840468E0,1.999011741E3,-1.680871455E-1
2.041840676E0,1.995639088E3,-7.429750597E-1
2.051840885E0,1.998226959E3,-3.016844078E-1
2.061841093E0,1.994505476E3,-9.366422061E-1
2.071841301E0,2.000823695E3,1.399704818E-1
2.081841510E0,1.996835202E3,-5.388684314E-1
2.091841718E0,1.995639905E3,-7.428355288E-1
2.101841926E0,1.997176595E3,-4.806574504E-1
2.111842135E0,2.000742399E3,1.261610015E-1
2.121842343E0,1.996683587E3,-5.647265849E-1
2.131842551E0,1.996849333E3,-5.364584868E-1
2.141842760E0,1.996768505E3,-5.502432420E-1
2.151842968E0,1.994517540E3,-9.345800701E-1
2.161843176E0,1.999698106E3,-5.132972860E-2
2.171843385E0,2.003047935E3,5.173605187E-1
2.181843593E0,1.999209185E3,-1.344916791E-1
2.191843801E0,1.996655814E3,-5.694637509E-1
2.201844010E0,1.997735993E3,-3.853174260E-1
2.201493645E0,1.994734786E3,-8.974490829E-1
2.211493853E0,2.002046079E3,3.474779195E-1
2.221494062E0,2.002878852E3,4.887013996E-1
2.231494270E0,2.000170464E3,2.897649013E-2
2.241494478E0,1.998217382E3,-3.033154793E-1
2.251494687E0,1.996041045E3,-6.743572580E-1
2.261494895E0,1.999033996E3,-1.642999622E-1
2.271495103E0,1.999224964E3,-1.318072172E-1
2.281495312E0,1.997555868E3,-4.160108097E-1
2.291495520E0,2.002691169E3,4.568839378E-1
2.301495728E0,1.996302771E3,-6.296930526E-1
2.311495937E0,1.997225910E3,-4.722502904E-1
2.321496145E0,NaN,NaN
2.331496353E0,1.998432037E3,-2.667628233E-1
2.341496562E0,1.994679481E3,-9.069007970E-1
2.351496770E0,1.996943543E3,-5.203930121E-1
2.361496978E0,1.998889116E3,-1.889552788E-1
2.371497187E0,1.997036724E3,-5.045044475E-1
2.381497395E0,1.998752822E3,-2.121526328E-1
2.391497603E0,NaN,NaN
2.401497812E0,1.996819461E3,-5.415528976E-1
2.411498020E0,1.999752568E3,-4.206862876E-2
2.421498228E0,NaN,NaN
2.431498437E0,1.994730462E3,-8.981879412E-1
2.441498645E0,1.998466323E3,-2.609251005E-1
2.451498853E0,1.997127728E3,-4.889884342E-1
2.461499062E0,1.999376562E3,-1.060175213E-1
2.471499270E0,1.999139558E3,-1.463381227E-1
2.481499478E0,1.996497999E3,-5.963845193E-1
2.491499687E0,1.998703074E3,-2.206204215E-1
2.501499895E0,1.995486096E3,-7.690995387E-1
2.511500103E0,1.997034838E3,-5.048259135E-1
2.521500312E0,1.996339064E3,-6.235003708E-1
2.531500520E0,2.002320516E3,3.940305529E-1
2.541500728E0,2.002425862E3,4.118969945E-1
2.551500937E0,NaN,NaN
2.561501145E0,1.999880289E3,-2.035200755E-2
2.571501353E0,2.003769723E3,6.396473280E-1
2.581501562E0,NaN,NaN
2.591501770E0,1.998025304E3,-3.360301347E-1
2.601501979E0,1.998065637E3,-3.291601038E-1
2.611502187E0,1.999278379E3,-1.227197928E-1
2.621502395E0,NaN,NaN
2.631502604E0,2.002770164E3,4.702764665E-1
2.641502812E0,1.996650726E3,-5.703317143E-1
2.651503020E0,2.003687162E3,6.256641294E-1
2.661503229E0,1.999534295E3,-7.918829113E-2
2.671503437E0,2.007228780E3,1.224466836E0
2.681503645E0,1.994370407E3,-9.597321810E-1
2.691503854E0,1.996009450E3,-6.797498175E-1
2.701504062E0,NaN,NaN
2.711504270E0,2.009113015E3,1.542185550E0
2.721504479E0,2.003471403E3,5.891159709E-1
2.731504687E0,2.000739759E3,1.257124716E-1
2.744201353E0,2.000627843E3,1.066998598E-1
2.754201561E0,NaN,NaN
2.764201770E0,2.004309933E3,7.311130685E-1
2.774201978E0,NaN,NaN
2.784202186E0,2.000520876E3,8.852594087E-2
2.794202395E0,2.002521871E3,4.281782325E-1
2.804202603E0,2.005117792E3,8.678040784E-1
2.814202811E0,2.004202314E3,7.128955027E-1
2.824203020E0,2.004751226E3,8.057942483E-1
2.834203228E0,1.996362017E3,-6.195841647E-1
2.844203436E0,1.998156931E3,-3.136107782E-1
2.854203645E0,2.004057925E3,6.884503399E-1
2.864203853E0,2.004192036E3,7.111554945E-1
2.874204061E0,2.005460415E3,9.257431229E-1
2.884204270E0,2.006457852E3,1.094301421E0
2.894204478E0,2.004407842E3,7.476853756E-1
2.904204686E0,2.001101058E3,1.870768293E-1
2.914204895E0,1.999666271E3,-5.674342556E-2
2.924205103E0,2.004149990E3,7.040374318E-1
2.934205311E0,2.002881531E3,4.891554974E-1
2.944205520E0,2.000614668E3,1.044613867E-1
2.954205728E0,2.002432980E3,4.131040600E-1
2.964205936E0,2.005650966E3,9.579575122E-1
2.974206145E0,2.002852424E3,4.842215523E-1
2.984206353E0,2.001126299E3,1.913629911E-1
2.994206561E0,2.003381553E3,5.738936431E-1
3.004206770E0,2.004100771E3,6.957045302E-1
3.014206978E0,2.000920593E3,1.564287616E-1
3.024207186E0,2.001870595E3,3.177040494E-1
3.034207395E0,2.001422076E3,2.415811241E-1
3.044207603E0,2.002740215E3,4.651991038E-1
3.054207811E0,2.005277019E3,8.947324399E-1
3.064208020E0,2.004994512E3,8.469519330E-1
3.074208228E0,2.001727290E3,2.933859187E-1
3.084208436E0,1.998615165E3,-2.355850193E-1
3.094208645E0,2.001090209E3,1.852346196E-1
3.104208853E0,2.004043902E3,6.860761990E-1
3.114209061E0,2.004321810E3,7.331235196E-1
3.124209270E0,2.004993998E3,8.468650627E-1
3.134209478E0,2.002105206E3,3.575087132E-1
3.144209687E0,2.002483591E3,4.216867784E-1
3.154209895E0,2.005320446E3,9.020760384E-1
3.164210103E0,2.004184618E3,7.098998070E-1
3.174210312E0,2.002114307E3,3.590525456E-1
3.184210520E0,1.998760776E3,-2.107987654E-1
3.194210728E0,1.999729018E3,-4.607311823E-2
3.204210937E0,2.001682069E3,2.857113522E-1
3.214211145E0,1.999721677E3,-4.732157637E-2
3.224211353E0,2.002446114E3,4.153313728E-1
3.234211562E0,2.002498187E3,4.241619987E-1
3.244211770E0,2.003279620E3,5.566226209E-1
3.254211978E0,2.002249511E3,3.819872509E-1
3.264212187E0,2.003358671E3,5.700167699E-1
3.274212395E0,2.002600793E3,4.415606684E-1
3.284212603E0,2.000369558E3,6.281319225E-2
3.294212812E0,2.002322891E3,3.944332724E-1
3.277982759E0,2.004017283E3,6.815691201E-1
