"Time (s)","Frequency (Hz)","Speed (m/s)"
1.898413229E0,2.000214264E3,3.642095801E-2
1.908413438E0,2.001431755E3,2.432241631E-1
1.918413646E0,1.998710535E3,-2.193504254E-1
1.928413854E0,1.999697075E3,-5.150506498E-2
1.938414063E0,2.002756259E3,4.679191453E-1
1.948414271E0,2.000261230E3,4.440334587E-2
1.958414479E0,1.999253644E3,-1.269278935E-1
1.968414688E0,2.001974166E3,3.352772928E-1
1.978414896E0,2.004922521E3,8.347739894E-1
1.988415104E0,2.003570893E3,6.059698158E-1
1.998415313E0,2.000318193E3,5.408419427E-2
2.008415521E0,1.999865637E3,-2.284330416E-2
2.018415729E0,2.000012300E3,2.090989800E-3
2.028415938E0,2.002101415E3,3.568656043E-1
2.038416146E0,2.004197413E3,7.120658632E-1
2.048416355E0,2.004417796E3,7.493699845E-1
2.058416563E0,1.998714750E3,-2.186329306E-1
2.068416771E0,1.999788736E3,-3.591860012E-2
2.078416980E0,2.005017811E3,8.508929913E-1
2.088417188E0,2.005712702E3,9.683931869E-1
2.098417396E0,2.004074594E3,6.912726376E-1
2.108417605E0,2.002826147E3,4.797671216E-1
2.118417813E0,1.999359387E3,-1.089391765E-1
2.128418021E0,2.000244552E3,4.156870441E-2
2.138418230E0,2.003066149E3,5.204474819E-1
2.148418438E0,2.004790565E3,8.124500554E-1
2.158418646E0,2.002618714E3,4.445992988E-1
2.168418855E0,2.001673799E3,2.843078411E-1
2.178419063E0,2.002660114E3,4.516186624E-1
2.188419271E0,1.998984416E3,-1.727369863E-1
2.198419480E0,1.997854435E3,-3.651377681E-1
2.207237916E0,2.000102396E3,1.740640830E-2
2.217238124E0,1.998408131E3,-2.708333453E-1
2.227238333E0,NaN,NaN
2.237238541E0,1.995013688E3,-8.497917319E-1
2.247238749E0,2.002015232E3,3.422446410E-1
2.257238958E0,2.002647970E3,4.495597323E-1
2.267239166E0,1.995658419E3,-7.396745069E-1
2.277239374E0,2.001140716E3,1.938111996E-1
2.287239583E0,2.004923686E3,8.349710849E-1
2.297239791E0,2.000022067E3,3.751315246E-3
2.307239999E0,1.996354814E3,-6.208130686E-1
2.317240208E0,2.003308057E3,5.614411238E-1
2.327240416E0,2.005088695E3,8.628827159E-1
2.337240624E0,2.002402886E3,4.080004005E-1
2.347240833E0,2.002239055E3,3.802137626E-1
2.357241041E0,2.000676989E3,1.150492299E-1
2.367241249E0,1.999809827E3,-3.233256217E-2
2.377241458E0,2.000342067E3,5.814146011E-2
2.387241666E0,2.002975491E3,5.050820386E-1
2.397241874E0,2.002331969E3,3.959730418E-1
2.407242083E0,2.002109574E3,3.582497396E-1
2.417242291E0,2.004358757E3,7.393773250E-1
2.427242499E0,2.003144319E3,5.336951139E-1
2.437242708E0,2.001787335E3,3.035756158E-1
2.447242916E0,2.001461526E3,2.482780054E-1
2.457243124E0,2.002437038E3,4.137922847E-1
2.467243333E0,2.001060468E3,1.801839844E-1
2.477243541E0,2.000764843E3,1.299735931E-1
2.487243749E0,2.002648712E3,4.496854824E-1
2.497243958E0,2.001195632E3,2.031360162E-1
2.507244166E0,2.001294271E3,2.198837839E-1
2.517244374E0,2.003990469E3,6.770289153E-1
2.527244583E0,2.005351096E3,9.072588450E-1
2.537244791E0,2.001302577E3,2.212940195E-1
2.547244999E0,1.998661786E3,-2.276486360E-1
2.557245208E0,2.001995786E3,3.389453616E-1
2.567245416E0,2.003575994E3,6.068339788E-1
2.577245624E0,2.005994466E3,1.016013999E0
2.587245833E0,2.004408777E3,7.478434947E-1
2.597246041E0,2.002377141E3,4.036341726E-1
2.607246250E0,2.000495329E3,8.418500976E-2
2.617246458E0,2.002975635E3,5.051063692E-1
2.627246666E0,2.007822628E3,1.324665564E0
2.637246875E0,2.005340230E3,9.054215085E-1
2.647247083E0,2.000824085E3,1.400367475E-1
2.657247291E0,1.999802154E3,-3.363706387E-2
2.667247500E0,2.002944593E3,4.998449745E-1
2.677247708E0,2.004484075E3,7.605875069E-1
2.687247916E0,2.005391162E3,9.140336724E-1
2.697248125E0,2.005219343E3,8.849787854E-1
2.707248333E0,2.002087697E3,3.545383444E-1
2.717248541E0,2.001368868E3,2.325483733E-1
2.727248750E0,2.003350725E3,5.686704723E-1
2.737248958E0,2.003094159E3,5.251944870E-1
2.747249166E0,2.000640949E3,1.089263784E-1
2.757249375E0,2.000946433E3,1.608174438E-1
2.764122343E0,2.004792125E3,8.127139638E-1
2.774122551E0,2.003907635E3,6.630024868E-1
2.784122760E0,2.002601667E3,4.417088074E-1
2.794122968E0,2.001655882E3,2.812670682E-1
2.804123176E0,2.000328463E3,5.582955857E-2
2.814123385E0,2.002636407E3,4.475990808E-1
2.824123593E0,2.004689956E3,7.954271858E-1
2.834123801E0,2.005446472E3,9.233855597E-1
2.844124010E0,2.001489108E3,2.529600216E-1
2.854124218E0,2.001078598E3,1.832628057E-1
2.864124426E0,2.004383482E3,7.435623156E-1
2.874124635E0,2.004535314E3,7.692589330E-1
2.884124843E0,2.003218553E3,5.462749575E-1
2.894125051E0,2.002851923E3,4.841366164E-1
2.904125260E0,2.003102687E3,5.266398735E-1
2.914125468E0,1.999364163E3,-1.081267000E-1
