"Time (s)","Frequency (Hz)","Speed (m/s)"
5.477413010E-1,NaN,NaN
5.577415093E-1,NaN,NaN
5.677417177E-1,NaN,NaN
5.777419260E-1,NaN,NaN
5.877421344E-1,NaN,NaN
5.977423427E-1,NaN,NaN
6.077425510E-1,NaN,NaN
6.177427594E-1,NaN,NaN
6.277429677E-1,NaN,NaN
6.377431760E-1,NaN,NaN
6.477433844E-1,NaN,NaN
6.577435927E-1,1.998629968E3,-2.330651538E-1
6.677438011E-1,1.998288070E3,-2.912773646E-1
6.777440094E-1,1.998051268E3,-3.316075478E-1
6.877442177E-1,1.998130046E3,-3.181897152E-1
6.977444261E-1,1.998440278E3,-2.653596869E-1
7.077446344E-1,1.998522357E3,-2.513850637E-1
7.177448427E-1,1.997476063E3,-4.296114995E-1
7.277450511E-1,1.997453288E3,-4.334929980E-1
7.377452594E-1,1.997566959E3,-4.141208060E-1
7.477454678E-1,1.997697630E3,-3.918539361E-1
7.577456761E-1,1.999636035E3,-6.188537701E-2
7.677458844E-1,1.999722367E3,-4.720408350E-2
7.777460928E-1,1.997617873E3,-4.054445411E-1
7.877463011E-1,1.996589827E3,-5.807195363E-1
7.977465094E-1,1.998567630E3,-2.436774341E-1
8.077467178E-1,1.998923500E3,-1.831035437E-1
8.177469261E-1,1.998597769E3,-2.385464742E-1
8.277471345E-1,1.997086923E3,-4.959455090E-1
8.377473428E-1,1.997643667E3,-4.010491629E-1
8.477475511E-1,1.998628040E3,-2.333932748E-1
8.577477595E-1,1.999345931E3,-1.112280637E-1
8.677479678E-1,1.999919162E3,-1.374307148E-2
8.777481761E-1,2.000213364E3,3.626795846E-2
8.877483845E-1,1.998001994E3,-3.400007427E-1
8.977485928E-1,1.996423686E3,-6.090625116E-1
9.077488012E-1,1.999251998E3,-1.272078831E-1
9.177490095E-1,1.998137603E3,-3.169026270E-1
9.277492178E-1,1.996341336E3,-6.231126986E-1
9.377494262E-1,1.995708613E3,-7.311045552E-1
9.477496345E-1,1.998197702E3,-3.066669826E-1
9.577498428E-1,1.998014412E3,-3.378854809E-1
9.677500512E-1,1.999480642E3,-8.831381343E-2
9.777502595E-1,1.998653198E3,-2.291105694E-1
9.877504679E-1,1.997102196E3,-4.933415198E-1
9.977506762E-1,1.993997699E3,-1.023462769E0
1.007750885E0,1.996698378E3,-5.622038012E-1
1.017751093E0,1.997111672E3,-4.917258236E-1
1.104952447E0,1.997277926E3,-4.633832413E-1
1.114952655E0,1.995824770E3,-7.112740249E-1
1.124952864E0,1.996349304E3,-6.217533033E-1
1.134953072E0,1.996894578E3,-5.287426672E-1
1.144953280E0,1.996854576E3,-5.355642840E-1
1.154953489E0,1.996714348E3,-5.594799450E-1
1.164953697E0,1.996722906E3,-5.580202728E-1
1.174953905E0,1.996863661E3,-5.340150674E-1
1.184954114E0,1.995820048E3,-7.120801095E-1
1.194954322E0,1.996909766E3,-5.261528021E-1
1.204954530E0,1.996384117E3,-6.158135230E-1
1.214954739E0,1.997121101E3,-4.901183278E-1
1.224954947E0,1.996030207E3,-6.762070649E-1
1.234955155E0,1.996855825E3,-5.353512869E-1
1.244955364E0,1.996359623E3,-6.199925910E-1
1.254955572E0,1.996309862E3,-6.284830867E-1
1.264955780E0,1.997008994E3,-5.092325405E-1
1.274955989E0,1.998131266E3,-3.179818462E-1
